X_PS,Y_PS,BED_filt,moho_calc_250,Lon,Lat
-256403.904802394,1251681.65784005,-743.732604980469,-35085.59984,-11.576742797909,-78.2801117176683
-246617.49622215,1251681.65784005,-423.555206298828,-35172.74752,-11.1461568089295,-78.2976782370499
-236831.087641906,1251681.65784005,-55.5482788085938,-35224.61136,-10.7142919188782,-78.3145867887362
-227044.679061661,1251681.65784005,242.046005249023,-35239.43504,-10.2811917066697,-78.3308344329237
-217258.270481418,1251681.65784005,401.770385742188,-35215.97488,-9.84690056544585,-78.3464183287471
-207471.861901173,1251681.65784005,441.440216064453,-35153.11456,-9.41146368009582,-78.3613357365879
-197685.45332093,1251681.65784005,436.926361083984,-35052.63824,-8.97492700352137,-78.3755840203208
-187899.044740686,1251681.65784005,457.855804443359,-34917.41024,-8.53733723167108,-78.3891606494959
-178112.636160441,1251681.65784005,516.671569824219,-34750.78224,-8.09874177736813,-78.4020632014513
-168326.227580197,1251681.65784005,566.625366210938,-34557.56992,-7.65918874296108,-78.414289363352
-158539.818999954,1251681.65784005,543.65966796875,-34343.20592,-7.21872689183022,-78.4258369341525
-148753.41041971,1251681.65784005,415.081207275391,-34114.69408,-6.77740561878552,-78.4367038264778
-138967.001839465,1251681.65784005,198.608062744141,-33878.02592,-6.3352749193955,-78.4468880684198
-129180.593259221,1251681.65784005,-56.0205307006836,-33640.1784,-5.89238535828966,-78.4563878052462
-119394.184678977,1251681.65784005,-300.935943603516,-33408.31408,-5.44878803648049,-78.4652013010172
-109607.776098733,1251681.65784005,-510.844329833984,-33188.41456,-5.00453455775373,-78.4733269401078
-99821.3675184889,1251681.65784005,-679.67626953125,-32987.04256,-4.55967699417908,-78.4807632286319
-90034.9589382452,1251681.65784005,-805.318969726563,-32808.70704,-4.11426785079588,-78.4875087957664
-80248.5503580015,1251681.65784005,-881.834594726563,-32658.5112,-3.66836002953126,-78.4935623949708
-70462.1417777571,1251681.65784005,-906.248657226563,-32538.8112,-3.22200679241072,-78.4989229051014
-60675.7331975132,1251681.65784005,-889.635864257813,-32451.93552,-2.77526172412328,-78.5035893314174
-50889.3246172695,1251681.65784005,-857.364379882813,-32399.568,-2.32817869400579,-78.5075608064762
-41102.9160370253,1251681.65784005,-834.850830078125,-32381.128,-1.88081181751252,-78.5108365909163
-31316.5074567806,1251681.65784005,-830.678344726563,-32395.30016,-1.43321541723829,-78.5134160741268
-21530.0988765374,1251681.65784005,-832.760620117188,-32440.30032,-0.98544398356459,-78.5152987748008
-11743.6902962926,1251681.65784005,-821.591918945313,-32513.06064,-0.537552134999656,-78.5164843413734
-1957.28171604846,1251681.65784005,-788.759643554688,-32610.06832,-0.0895945782842616,-78.5169725523405
7829.12686419523,1251681.65784005,-743.991088867188,-32727.33648,0.358373931663944,-78.5167633164617
17615.5354444393,1251681.65784005,-704.657958984375,-32861.11264,0.806298631894399,-78.5158566728423
27401.9440246833,1251681.65784005,-677.899536132813,-33007.21248,1.25412479158231,-78.5142527908986
37188.3526049274,1251681.65784005,-652.327270507813,-33161.49648,1.70179775212844,-78.5119519702029
46974.7611851713,1251681.65784005,-607.568603515625,-33320.31616,2.14926296712668,-78.5089546402112
56761.1697654154,1251681.65784005,-533.755249023438,-33480.10416,2.59646604212633,-78.5052613598728
66547.5783456595,1251681.65784005,-443.965026855469,-33638.93216,3.04335277411698,-78.5008728171227
76333.9869259035,1251681.65784005,-368.359924316406,-33794.25584,3.48986919066464,-78.4957898282589
86120.3955061475,1251681.65784005,-333.91552734375,-33944.93568,3.93596158862894,-78.490013337204
95906.8040863916,1251681.65784005,-345.106018066406,-34090.50752,4.38157657239279,-78.4835444146552
105693.212666636,1251681.65784005,-379.605224609375,-34230.54352,4.82666109153742,-78.4763842571217
115479.62124688,1251681.65784005,-401.176086425781,-34365.7152,5.27116247789757,-78.4685341858544
125266.029827124,1251681.65784005,-379.829223632813,-34496.74736,5.71502848193366,-78.4599956456671
135052.438407368,1251681.65784005,-306.104736328125,-34624.83888,6.1582073083602,-78.4507702036546
144838.846987612,1251681.65784005,-192.626388549805,-34751.25504,6.60064765097177,-78.4408595478081
154625.255567856,1251681.65784005,-65.2415618896484,-34877.84704,7.04229872661103,-78.4302654855318
164411.6641481,1251681.65784005,49.0330963134766,-35005.75904,7.48311030822537,-78.4189899420632
174198.072728344,1251681.65784005,131.194534301758,-35135.99104,7.92303275696242,-78.4070349588014
183984.481308588,1251681.65784005,174.391464233398,-35269.4752,8.36201705325696,-78.3944026915448
193770.889888832,1251681.65784005,183.507522583008,-35406.8152,8.8000148268656,-78.3810954086436
203557.298469076,1251681.65784005,171.258499145508,-35548.08736,9.23697838580825,-78.3671154890694
213343.70704932,1251681.65784005,152.101516723633,-35692.75968,9.67286074417922,-78.3524654204064
